"NAICS_Code","SIC4","NAICS_Description","SIC_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"111110","0116","Soybean Farming","Soybeans",321,2154,43922269,1,1,1
"111120","0119","Oilsead (except Soybean) Farming","Cash grains, nec",2057,9715,195520898,1,1,1
"111130","0119","Dry Pea and Bean Farming","Cash grains, nec",2057,9715,195520898,1,1,1
"111140","0111","Wheat Farming","Wheat",1691,3377,58520892,1,1,1
"111150","0115","Corn Farming","Corn",1018,9727,202921291,1,1,1
"111160","0112","Rice Farming ","Rice",890,3001,54344412,1,1,1
"111191","0119","Oilseed and Grain Combination Farming","Cash grains, nec",2057,9715,195520898,1,1,1
"111199","0119","All Other Grain Farming ","Cash grains, nec",2057,9715,195520898,1,1,1
"111211","0134","Potato Farming","Irish potatoes",1016,12532,220845342,0.29,0.37,0.39
"111211","0139","Potato Farming","Field crops, except cash grains, nec",2511,21497,351649281,0.71,0.63,0.61
"111219","0161","Other Vegetable (except Potato) and Melon Farming","Vegetables and melons",3730,80500,1287767543,1,1,1
"111310","0174","Orange Groves","Citrus fruits",1291,13586,262608135,1,1,1
"111320","0174","Citrus (except Orange) Groves ","Citrus fruits",1291,13586,262608135,1,1,1
"111331","0175","Apple Orchards","Deciduous tree fruits",6079,69014,834851523,1,1,1
"111332","0172","Grape Vineyards","Grapes",3810,45068,645965767,1,1,1
"111333","0171","Strawberry Farming","Berry crops",1468,29308,408344503,1,1,1
"111334","0171","Berry (except Strawberry) Farming","Berry crops",1468,29308,408344503,1,1,1
"111335","0173"," Tree Nut Farming","Tree nuts",1854,11364,185309476,1,1,1
"111336","0179"," Fruit and Tree Nut","Fruits and tree nuts, nec",1130,12087,193155203,1,1,1
"111339","0175","Other Noncitrus Fruit Farming","Deciduous tree fruits",6079,69014,834851523,0.84,0.85,0.81
"111339","0179","Other Noncitrus Fruit Farming","Fruits and tree nuts, nec",1130,12087,193155203,0.16,0.15,0.19
"111411","0182","Mushroom Production","Food crops grown under cover",477,19332,399713989,1,1,1
"111419","0182","Other Food Crops Grown Under Cover","Food crops grown under cover",477,19332,399713989,1,1,1
"111421","0181","Nursery and Tree Production","Ornamental nursery products",7646,142970,2624371401,1,1,1
"111422","0181","Floriculture Production","Ornamental nursery products",7646,142970,2624371401,1,1,1
"111910","0132","Tobacco Farming","Tobacco",499,5646,81923225,1,1,1
"111920","0131"," Cotton Farming","Cotton",3647,23236,357292527,1,1,1
"111930","0133","Sugarcane Farming","Sugarcane and sugar beets",607,8692,214689242,1,1,1
"111940","0139","Hay Farming","Field crops, except cash grains, nec",2511,21497,351649281,1,1,1
"111991","0133","Sugar Beet Farming","Sugarcane and sugar beets",607,8692,214689242,1,1,1
"111992","0139","Peanut Farming","Field crops, except cash grains, nec",2511,21497,351649281,1,1,1
"111998","0139","All Other Miscellaneous Crop Farming","Field crops, except cash grains, nec",2511,21497,351649281,1,1,1
"112111","0212","All Other Miscellaneous Crop Farming","Beef cattle, except feedlots",5053,24107,435346646,1,1,1
"112112","0211","Cattle Feedlots","Beef cattle feedlots",1008,14654,352917954,1,1,1
"112120","0241","Dairy Cattle and Milk Production","Dairy farms",5598,50515,927812418,1,1,1
"112130","0212","Dual-Purpose Cattle Ranching and Farming","Beef cattle, except feedlots",5053,24107,435346646,0.47,0.32,0.32
"112130","0241","Dual-Purpose Cattle Ranching and Farming","Dairy farms",5598,50515,927812418,0.53,0.68,0.68
"112210","0213","Hog and Pig Farming","Hogs",1609,21216,465983519,1,1,1
